"Broad7_geneID"	"MIPS description"	"FunCat"	"Pfam"	"SignalP"	"ID25"	"ID30"	"ID35"
"NCU00123"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00124"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Drf_FH1;GRASP55_65;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"N_Evol"
"NCU00125"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";FAD_binding_7;Whi5;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00126"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00127"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	";DUF1469;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00129"	"related to AMP-binding protein"	"01 METABOLISM_01.06 lipid, fatty acid and isoprenoid metabolism"	";AMP-binding;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00130"	"probable beta-glucosidase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.05.02 sugar, glucoside, polyol and carboxylate metabolism_01.05.02.07 sugar, glucoside, polyol and carboxylate catabolism_01.05.03 polysaccharide metabolism"	";Glyco_hydro_1;Cellulase;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00132"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00142"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";TP2;PBD;NUDE_C;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00143"	"questionable protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00145"	"probable histone 3"	"42 BIOGENESIS OF CELLULAR COMPONENTS_42.10 nucleus_42.10.03 organization of chromosome structure_70 SUBCELLULAR LOCALIZATION_70.10 nucleus_70.10.03 chromosome"	";Histone;CBFD_NFYB_HMF;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00146"	"related to F-LANa protein"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";DER1;"	"Signal anchor"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00147"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";ARD;Cupin_2;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00148"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";adh_short;KR;Epimerase;3Beta_HSD;F420_oxidored;Polysacc_synt_2;"	"Non-secretory protein"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU00149"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00150"	"probable 5` Pro-FAR isomerase"	"01 METABOLISM_01.01 amino acid metabolism_01.01.09 metabolism of the cysteine - aromatic group_01.01.09.07 metabolism of histidine_01.01.09.07.01 biosynthesis of histidine"	";His_biosynth;Glyco_hydro_32C;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00151"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"A_Evol"	"F_Evol"	"F_Evol"
"NCU00153"	"related to mitochondrial cytosolically directed NADH dehydrogenase"	"02 ENERGY_02.13 respiration_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";Pyr_redox_2;Pyr_redox;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00155"	"related to transcriptional activator Mut3p"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control_11.02.03.04.01 transcription activation"	";Zn_clus;Fungal_trans;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00157"	"related to COP9 signalosome complex subunit 1 (G protein pathway suppressor 1)"	"30 CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM_30.01 cellular signalling_30.01.05 enzyme mediated signal transduction"	";SspK;PCI;"	"Non-secretory protein"	"E_Evol"	"O_Evol"	"F_Evol"
"NCU00158"	"related to potassium channel regulatory factor"	"02 ENERGY_02.45 energy conversion and regeneration_02.45.20 regulation of energy conversion / regeneration_11 TRANSCRIPTION_11.04 RNA processing_11.04.03 mRNA processing (splicing, 5'-, 3'-end processing)_11.04.03.01 splicing_16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.03 nucleic acid binding_16.03.03 RNA binding_34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.01 homeostasis of cations_34.01.01.01 homeostasis of metal ions (Na, K, Ca etc.)"	";UCR_TM;TolA;MAP7;PRP4;Prp18;DUF965;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU00159"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";SAP18;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU00161"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Abhydrolase_1;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU00163"	"related to glucosyltransferase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_14 PROTEIN FATE (folding, modification, destination)_14.07 protein modification_14.07.02 modification with sugar residues (e.g. glycosylation, deglycosylation)"	";Alg6_Alg8;AzlD;CTP_transf_1;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00164"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";DDT;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU00166"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Isochorismatase;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU00168"	"related to sn2-acylglyceride fatty acyltransferase"	"01 METABOLISM_01.06 lipid, fatty acid and isoprenoid metabolism"	";Acyltransferase;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00169"	"related to translocation protein SEC63"	"14 PROTEIN FATE (folding, modification, destination)_14.04 protein targeting, sorting and translocation_70 SUBCELLULAR LOCALIZATION"	";DnaJ;Sec63;Fels1;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
